資源標題,年級,科目/單元,資源連結,doctype,內文
心_日記,,,https://drive.google.com/a/junyiacademy.org/file/d/1cmMFWMwue0Sw2TmHfHOn6Bl0zAGplwQs/view?usp=drivesdk,docx,"各位老師大家好，之前小弟分享了海外版的心情小語實施過程，與孩子的作品分享後，當天有老師詢問，一開始的通知單如何啟齒，該怎麼讓家長了解這作業的初衷，還有避免家長偷看。
我是一三五寫心情小語，二四寫每日閱讀，有什麼原因呢？

首先要澄清的第一件事！
「家長有沒有偷看，你不會知道！」
「你若知道了，家長一定有偷看！」

至於為什麼一三五才寫，就只是因為讓我可以慢慢品味慢慢改的個人習慣，那二四怎麼可能放掉，也要寫別的啊！
也有老師是每天寫每天改喔！所以實施的方式可以依照教師本身習慣而定，把它當成一個「單純書寫」的平台，才不會造成師生壓力！

------------------再來分享一個當時使用的真實案例----------------------
通常我很喜歡在心情小語上，跟孩子對話，
而且按照慣例，孩子寫越少，我回答越少；
孩子若寫越多，感觸若深，我回答就越多。

就在一次月考前週，讓全班寫了一篇月考前的心情小語，
沒想到平常班上最常第一名的小孩，在心情小語寫下家長如何執行鐵血讀書政策(傳統的少幾分打幾下)，侃侃而談一張A4之後，最後下的註解就是「媽媽吃大便」

雖然我們都知道，這對孩子來說是一個可以放心抒發的園地，但是在如此純真的中年級孩子口中，居然出現「媽媽吃大便」的字眼，老師除了痛心又是驚愕，當然，「感觸若深，我回答就越多」。
我洋洋灑灑的寫滿一頁半，從感化的角度切入，並非苛責，
也在下課時間，再把孩子叫過來聊聊，了解孩子心中感覺。

沒想到，兩天後，媽媽難過的來學校找我聊這件事！
這媽媽有偶爾檢查孩子書包的習慣，就在偶然點閱的途中，
眼角餘光看到一篇滿江紅的作業，媽媽意外之餘馬上拿起來檢查，
沒錯！就是這篇「媽媽吃大便」

經過一陣促膝長談，媽媽更加了解孩子真正的想法，也知道自己的孩子不是真的有這個意思，媽媽開始用不同的角度重新省視自己如何對待孩子學習的態度。最後這孩子跟家長的感情變得更加緊密，更加融洽呢！

所以該怎麼說呢？
就算家長很遵守約定不看，還是會有不同的突發狀況，
但，這何嘗不是另一種機會與命運？

-------------------------------------------------------------------------------

最後附上當年在附小實施心情小語前，給家長的通知回饋單，
讓即將要使用的老師們參考，老師自行刪減無妨。

PS.
(1)當初直接玩「師生交換日記」，非常的有趣，
這是我當導師的第一屆，也將會是此生最深刻的回憶。

(2)當年不叫心情小語，我自己改名叫做「心日記」，
而且那時還是一週寫一次，哈哈哈！"
南一六上第二課鷸蚌相爭教學,,,https://drive.google.com/a/junyiacademy.org/file/d/1VQN1eI388wgL29uznEusRFgqoS_QtTKC/view?usp=drivesdk,doc,"南一六上第二課鷸蚌相爭備課
------------------------------------------------------------------------------------
我不是改教高年級啦～是剛好這次高雄市教甄的國語試教有這一課，回想起我以前教文言文寓言，好像沒有教會學生「讀懂寓言」的能力，所以現在自己試著備這一課看看，想跟大家一起討論。
------------------------------------------------------------------------------------
一、教學分析：
● 表述方式：寓言故事，隱藏寓意
● 文章內容：課文及注釋僅有原文的故事部份，但賞析則有交代原文的起因和結果。
● 寫作手法：開頭以故事吸引學生閱讀，賞析部份才點出寓意。
● 文章主旨：在最末段，寓言故事運用比喻手法，讓哲理變得淺顯易懂，達到說服勸誡的效果。
● 閱讀與寫作策略：此篇教學重在讀懂文言文寓言，故不做讀寫結合，輔以提供康軒版及翰林版狐假虎威等文言文寓言課文或原文，藉由閱讀檢視學習成果。

二、教學方法
只讓學生了解課文、注釋和白話文的部份，就只讓學生學到這是一篇故事，故事中的人物互不相讓，最後一起被抓走了。學生可能只學到要互讓。原標題和課文標題互相比較，才能讀出「比喻手法」；原文和課文互相對照，才能讀出「淺顯易懂」；了解蘇代的想法，才能讀出「說服勸誡」。再提供戰國策其他寓言做為閱讀評量，希望藉由這樣的教學，讓學生學會『讀文言文寓言的能力』。
[準備]
1．了解「戰國策」的主要記述內容
2．準備「鷸蚌相爭」的原文–「趙且伐燕」

[教學]
1．讀懂故事
(1)先請學生課文、注釋和白話文一起搭配著看，掃除字詞障礙。
(2)請學生判斷：「鷸蚌相爭」的題目出處→文章裡沒有這四個字，這四個字是故事的大意。
2．鷸蚌相爭的出處→戰國策
(1)請學生就《戰國策》的名字來猜測，這本書的內容是在說什麼。
(2)揭示答案：「戰國」是指中國古代的戰國時期，「策」是指策略。《戰國策》的內容其實是戰國時期政治人物或軍事家的政治主張和言行策略。
(3)問學生：如果今天讓你們讀國防部長的軍事報告或外交部長的外交策略，你們想讀嗎？答案應該是不想。但讓你們讀故事呢？大部份都可以接受。
(4)思考：為什麼今天課文先提供故事的部份？而沒有提供策略的部份呢？是為了讓六年級的學生容易接受吧！
(5)追問：賞析為什麼說「鷸蚌相爭」是一篇寓言故事呢？寓言故事和一般故事有什麼不一樣呢？
(6)寓言故事和一般故事的不同之處：用假托的故事或擬人手法說明某個道理或教訓。
3．發下原文→趙且伐燕
(1)閱讀原文：趙且伐燕，蘇代為燕謂惠王曰：「今者臣來，過易水，蚌方出曝，而鷸啄其肉，蚌合而鉗其喙。鷸曰：『今日不雨，明日不雨，即有死蚌。』蚌亦謂鷸曰：『今日不出，明日不出，即有死鷸。』兩者不肯相舍，漁者得而并禽之。今趙且伐燕，燕、趙久相支，以弊大眾，臣恐強秦之為漁父也。故願王之熟計之也。」惠王曰：「善。」乃止。
(2)請學生畫出原文和課文不一樣的地方。
(3)請學生判斷：「趙且伐燕」的題目出處→原文的開頭，也是真實案例的背景。
(4)歸納：「鷸蚌相爭」就是以擬人手法編出來的故事，真正想說明的是「趙且伐燕」這個案例的道理。
4．比喻手法
(1)故事裡出現鷸、蚌和漁夫，原文裡有趙、燕和秦國，請問他們的對應關係是什麼？
(2)揭示答案：鷸→趙國、蚌→燕國、漁夫→秦國
(3)賞析裡提到的比喻手法，就是從這些對應關係看出來的。
(4)以故事說明趙、燕、秦三國的關係，趙、燕兩敗俱傷，強敵秦國在一旁撿便宜。這篇文章後來延伸出的成語：「鷸蚌相爭，漁翁得利。」就是比喻雙方爭執不下，兩敗俱傷，讓第三者占了便宜。
5．蘇代的想法
(1)編故事的人是蘇代，他想遊說趙王。在遊說趙王之前，蘇代心裡會有什麼想法？
(2)蘇代想用什麼道理說服趙王，請從課文中找答案。
(3)揭示答案：蘇代的想法其實就在課文中，他想用「兩敗俱傷」的道理說服趙王。
(4)從原文可以看到，蘇代先說故事，再說道理。如果蘇代先說道理，再說故事。大家覺得哪一種方式比較容易讓人聽得進去？
(5)先說故事，比較容易讓人願意聽，而且這個故事要說得淺顯易懂。之後再說道理，聽的人才能體會其中的意思。聽的人體會道理後，才能達到蘇代說服勸誡的效果。
(6)所以，「鷸蚌相爭」看起來好像是個故事，但真正要說明的是「趙且伐燕」，可能會造成「兩敗俱傷」的道理。
(7)有時候我們為別人好，講了一堆大道理或他可能會受到的傷害，但對方卻不見得聽得進去。用說故事的方式，吸引對方聽，之後才說出道理，對方反而願意聽進去了。這就是寓言故事和一般故事不同的地方：用故事說明某個道理或教訓。

[補充]《戰國策．楚策一》
1．故事：狐假虎威
老虎獵捕各種野獸作為食物。有一次，老虎抓到一隻狐狸。狐狸說：「你才不敢吃我呢！天帝命令我掌管百獸，現在你要是吃了我，就是違背天帝的旨意。你如果認為我的話是不可相信的，我可以走在你的前面，你跟在我後頭，看看野獸們看到我，有誰敢不逃走的嗎？」老虎認為狐狸的話有道理，所以就跟著狐狸走。野獸們看到老虎，都嚇得落荒而逃。老虎不知道野獸們是因為害怕自己才逃走，還以為他們是怕狐狸呢！
2．原文：荊宣王問群臣
荊宣王問群臣曰：『吾聞北方之畏昭奚恤也，果誠何如？』群臣莫對。江乙對曰：『虎求百獸而食之，得狐。狐曰：「子無敢食我也。天帝使我長百獸，
今子食我，是逆天帝命也。子以我為不信，吾為子先行，子隨我後，觀百獸之見我而敢不走乎？」虎以為然，故遂與之行。獸見之皆走。虎不知獸
畏己而走也，以為畏狐也。今王之地方五千里，帶甲百萬，而專屬之于昭奚恤；故北方之畏昭奚恤也，其實畏王之甲兵也，猶百獸之畏虎也。』  
3．注釋或白話文
楚宣王問群臣，說：『聽說北方諸侯都害怕楚令尹昭奚恤，果真是這樣的嗎？』群臣無人回答，江乙回答說：『老虎每天捕捉各種野獸來吃。有一次
捉到一只狐狸，狐狸﹙對老虎﹚說：「您不敢吃我，上天派我做群獸的領袖，如果您吃掉我，就違背了上天的命令。您如果不相信我的話，我在前面
走，您跟在我的後面，看看群獸見了我，有哪一個敢不逃跑的呢？」老虎信以為真，就和狐狸同行，群獸見了它們，都紛紛逃跑，老虎不明白群獸
是害怕自己才逃跑的，卻以為它們是在害怕狐狸。現在大王的國土方圓5000里，大軍百萬，卻由昭奚恤獨攬大權。所以，北方諸侯害怕昭奚恤，其
實是害怕大王的軍隊，這就像群獸害怕老虎一樣啊。』
4．給學生文章時，將有明顯比喻的部份拿掉。請學生討論這篇寓言的標題差異、比喻內容的對應關係和想說明的寓意是什麼。"
Character,,,https://drive.google.com/a/junyiacademy.org/file/d/1CoM7w2Zl6QHLF392ZZ1qI7BPpFuaP7_6/view?usp=drivesdk,pdf,各位老師好！今天是新加坡國慶，我又來分享啦！附上簡體字版加漢語拼音及英文註解的自製“性格卡”，如果有遺漏，懇請各位指教！
履歷自傳小書小檔案--接新班_請孩子介紹自己給你吧!,,,https://drive.google.com/a/junyiacademy.org/file/d/1lmscGc7RrWaYWGLCM583VCxLfYKRr47T/view?usp=drivesdk,doc,【履歷自傳】小檔案創作參考計畫表
二上第01課狗蟻備課,,,https://drive.google.com/a/junyiacademy.org/file/d/12sO2laC3mDR_5iKHUbqZmTbQf7woxnpe/view?usp=drivesdk,doc,"真平二上閩南語第一課『狗蟻』
狗蟻狗蟻真無閒　來來去去佇路頂　為著照顧大家庭　規日做工做無停

一、教學分析：
● 表述方式：記敘詩
● 文章主旨：介紹昆蟲
● 教學策略：順著課文概念提問，讓孩子依自己的經驗或是課文提供的圖片來回答或討論分享。

二、教學方法
[準備]
1．昆蟲的笑話或動畫

[背景]
1.課文中的主角是啥人？
[原因]
2.狗蟻為啥物真無閒？ 
[經過]
3.課文中佗幾句會當看出狗蟻真無閒？
[結果]
5.狗蟻照顧大家庭，敢有照顧著家己？
[迴響]
6.「來來去去」是啥物意思？佮進前學過的「來去」敢有仝款？
7.課文中的狗蟻有啥物款的個性？
8.尪仔冊、故事內底的蟲通常有啥物款的個性？請逐家講看覓。

課文念讀：音標手腳節奏法
口語練習：﹙蟲豸﹚佇﹙佗位﹚咧﹙創啥物﹚"
一上第01課來去讀冊備課,,,https://drive.google.com/a/junyiacademy.org/file/d/1sbleujzs05zE9cTh72gT15u4RPGL0R9K/view?usp=drivesdk,doc,"真平一上閩南語第一課『來去讀冊』
阿爸阿母再會　我欲來去讀冊　老師教我愛好禮　「你好、多謝、真歹勢」

一、教學分析：
● 表述方式：記敘詩
● 文章主旨：愛好禮
● 教學策略：順著課文概念提問，讓孩子依自己的經驗或是課文提供的圖片來回答或討論分享。

二、教學方法
[準備]
1．校長、主任、老師、志工的照片

[背景]
1.課文中有講著佗幾个人？
[原因]
2.課文中的主角伊欲去做啥物？ 
3.「來去」是啥物意思？
[經過]
4.老師教主角佗一項代誌？
[結果]
5.主角學到佗幾个語詞？
[迴響]
6.主角的表情是啥物？伊予你的感覺是啥款？是按怎講？
7.臆看覓，「好禮」是啥物意思？
8.啥物時陣會講「你好」？
9.啥物時陣會講「多謝」？
10.啥物時陣會講「真歹勢」？

課文念讀：拍手節奏法
口語練習：問候語的時機用法
          ﹙    ﹚
          我講﹙    ﹚
          我共伊講﹙    ﹚
          我欲共伊講﹙          ﹚"
六上第01課叫出我的名臺灣備課,,,https://drive.google.com/a/junyiacademy.org/file/d/1LQP2Ns7_MJDw7fDZcXSAMrHmAddIJ-iP/view?usp=drivesdk,doc,"真平六上閩南語第一課『叫出我的名臺灣』
不管佇草地的暗暝　不管佇城市的日時　愛就真實叫出我的名　叫做臺灣
不管佇下港出世　不管佇北部大漢　愛就勇敢叫出我的名　叫做臺灣
攑起玉山的肩胛　泅過海洋的胸坎　踢開擋路的石頭　拍開百年的鎖鍊
大聲叫出我的名臺灣　大聲叫出我的名臺灣

一、教學分析：
● 表述方式：抒情詩
● 文章內容：愛臺灣不分地域和時間；音標教學和課文內容並無關聯。
● 寫作手法：以地區串連
● 文章主旨：愛臺灣
● 教學策略：結合句型與地區名稱，增加學生口說機會，並嘗試將國語詩翻成閩南語。

二、教學方法
[準備]
1．島嶼天光https://www.youtube.com/watch?v=N6vRCQqOiUw
2．我愛雨夜花https://www.youtube.com/watch?v=nDdGUuWxXGE

[課文提問基礎題]
1.這首詩的主角是啥人？
2.課文有講著佗幾个地區抑是地號名？請你框起來。
3.這首詩所欲傳達的意思是啥物？
[課文提問進階題]
4.作者感覺「愛臺灣」敢有分地區抑是時間？是按怎講？
5.由侘一句會當看出臺灣人有堅強的勇氣？
[課文提問挑戰題]
6.「踢開擋路的石頭」是啥物意思？請逐家討論。
7.「拍開百年的鎖鍊」是啥物意思？請逐家討論。

課文念讀：rap套調法
口語練習：我叫做﹙    ﹚，
我捌去過﹙    ﹚，
我佇遐﹙        ﹚。
聽寫測驗：鼓勵用漢字書寫，可以翻課文
音標練習：it、ut，用舌拄佇咧頂 
[寫作]
1.播放課文補充–島嶼之歌﹙國語﹚
2.分組討論如何將詩的內容改成閩南語，可以的話，試著寫出來。"
溫老師彭老師金門分享筆記,,,https://drive.google.com/a/junyiacademy.org/file/d/1f18Dzm_mqtPuFyoIE_s1hFlrR50YHCRa/view?usp=drivesdk,docx,"因表格無法在留言中呈現，上傳研習筆記word檔供大家參考~
必做:
1. 列印情緒卡、性格卡
2. 跟出版社要各版本課文電子檔
3. 用教材教學生思考、整理資料、讀書方法、寫作
4. 用不同的角度切入文學

真的非常感謝溫老師和遠芬老師這兩天搏命演出，講完還要逃難(趕飛機)~"
段老師8,,,https://drive.google.com/a/junyiacademy.org/file/d/1Thptie6oLbm5dQSX8l9BS6JFv4cmPbIN/view?usp=drivesdk,docx,"【104.8.21段老師研習筆記+馬達的真情告白】
剛剛馬達一回到家，第一件事居然不是想看生命中的三個男人ㄟ...
我我我...滿心歡喜，激動想要上傳筆記、想要說一些心裡話...
首先是馬達有信心今天絕對打得比昨天清楚，一樣要配合段老師的ppt來看筆記喔！
再者是馬達的心情...除了感謝、感動，更多的是豁然開然！

記得，上星期段老師問馬達可否分享實作心情時，真是毫不考慮的婉拒了！真的...心裡想的只有...自己是什麼咖？要去分享？

一年以來，班上孩子的讀寫成品，全都是『直接取用』備課趴老師的心血結晶啊！馬達只是仿作，根本沒有自己的教學案例和思考呀！雖然只是仿作，這一年卻是馬達教學生涯中最有成就感的一年，因為馬達和孩子都樂在學習、沉醉在創意寫作的氛圍中，笑料不斷...哈哈哈...

這兩天，好慶幸！好慶幸！自己來了，真真實實分享孩子的大作，自己仿作的心情，目的是讓老師們感受到備課趴的讀寫資料多好用、多實用，且，重點是馬達這樣什麼都不會的人都能做了，大家也可以試試看！只要加入備課趴-->進入討論區+檔案區-->滑鼠點資料-->下載-->列印，就可以用在課堂上了，這麼無私分享的寶庫，神人們的心血結晶，怎麼能不用？開什麼玩笑？

做了就知道！絕對重新找回教學價值，就算找不到價值，也會找回教學笑容，孩子笑！自己笑！家長更是滿意的笑！
段老師說：家長會管你的教學方法、教學材料是模仿誰嗎？絕對不會！家長只在乎他的孩子學到什麼能力。

最後，馬達直白的跟段老師說過一件事，段老師說能說，說了溫老師會開心的，所以馬達誠惶誠恐...斗膽的說了，就是...馬達聽過溫老師的兩次現場研習，直到這次有機會聽到段老師的分享，才聽懂了教學案例所要傳達的旨意(美味的一堂課)，才了解教學概念才是一個老師該有的能力，才明瞭沛綸老師說的沒有慧根，就要會跟！且，不要亂跟！這就是我說的豁然開朗！豁然開朗！豁然開朗！(因為太重要，說3次才過癮)
激動難以言喻呀！親愛的溫老師您是女神...真的是人神殊途呀！(拜)

從小到大，都覺得自己很受上天眷顧，天大的好運總是找機會降臨在自己身上，謝謝老天爺讓馬達遇見您們，敬。備課趴所有的老師！
感激涕零~(跪)

ps.這兩天馬達在分享時，段老師總用關愛的眼神看著我，對著我笑，彷彿訴說著：你很棒！...都快哭了啦！一定好好拜讀教學案例，答謝您們的愛！再次感謝溫老師！感謝段老師！淚奔~"
圓面積推演,,,https://drive.google.com/a/junyiacademy.org/file/d/1nlYOjB_BAVGHMsHu9depkgNsfKBkYhSg/view?usp=drivesdk,pptx,留言處無法貼檔案，只好再重新貼一個圓面積囉!
