資源標題,年級,科目/單元,資源連結,doctype,內文
數學日記,,,https://lookaside.fbsbx.com/file/%E6%95%B8%E5%AD%B8%E6%97%A5%E8%A8%98.rar?token=AWzIrOI-Is7dBjDx8_UeP_uOMfrxGwMbMBy-RDun76yJJHGDOsK9txZ9OmdAyg_hJB-F2GBZFX_zJr3SB_1qNSEEikffTjnPmpgQ7vSMPumEbTxp2nSCj5Wa6viefedlEm2Bg3OR0vrej1loBc8qni2cPYumjlWdyO-KKBy1i91YLRI3Hj2eNa4JgokEdWTxQh8,rar,這是這兩年設計的數學日記任務單，搭配南一版五六年級課程，仍有許多不足之處，歡迎夥伴們和我討論，因為討論，是讓彼此成長的最佳之道^^
康軒二上(一~四課),,,https://lookaside.fbsbx.com/file/%E5%BA%B7%E8%BB%92%E4%BA%8C%E4%B8%8A%28%E4%B8%80~%E5%9B%9B%E8%AA%B2%29.rar?token=AWzl9XUlWbfQivVxeBvx4iUuL4XQvNzal_L6TJ-qUNtSSrmN6Pj7yV6p1AB4Jf_2FS0cQTPNEztGEVGm3c0oBqyb0pHfnVLW4DJpe4lQw8KH7sKNy7pU58BkyFnO2gBt02k12zeN49dR2SdWFvNFTirlK-U9j8YlsDbJ99u4QzZOB9IjVv3N-CLuIjdGiWPKyiw,rar,"康軒。國語。二上。學習單與檔案
自行設計的學習單使用方式已兩年多，大多每一課會設計不同的東西，一年級的就先不上傳了，先與老師們分享將要上到的課程(目前僅完成一到四課喔)
影片、繪本皆為網路上下載，有鑑於版權問題，老師們再自行下載喔！
感恩:)"
(康軒版)心智圖一到六只有PDF檔,,,https://lookaside.fbsbx.com/file/%28%E5%BA%B7%E8%BB%92%E7%89%88%29%E5%BF%83%E6%99%BA%E5%9C%96%E4%B8%80%E5%88%B0%E5%85%AD%E5%8F%AA%E6%9C%89PDF%E6%AA%94.rar?token=AWz4wNWiyU5NnZ7Pu0JXHachotacBYJIEoYruWtCXKLSjTumN4wMusVimiljyxxOQF4js39zfRq_cd7XZcno9OX73-Gj2r9SFyM-IJZ7WwEEvSUOwaVM8YMz7nld1rTvB_GCclopjwRxHJGD7LTnZ2SFN-3SQUaY-e-NKKGBlJGntClAYgFlxRqSy97QlzptLQ8,rar,"各位老師好
   今日最後一份資料分享
             PDF檔康軒版心智圖,其他還在整理中
也有其他課文檔(翰林版)我還在打字中啦~~所以會慢一點分享"
104(一)135年級預習單word及PDF檔(康軒版),,,https://lookaside.fbsbx.com/file/104%28%E4%B8%80%29135%E5%B9%B4%E7%B4%9A%E9%A0%90%E7%BF%92%E5%96%AEword%E5%8F%8APDF%E6%AA%94%28%E5%BA%B7%E8%BB%92%E7%89%88%29.rar?token=AWzkkqAP1iB7CGduq0Ia-2w5L3i0gn5NluZolhRILOaYkk31OoPekiecSkqlvv-OscLCKNAFHlD4t_kIA6O1vC6AO9GxTHur6cwBMFSWmc16AIUYIbjXen_NgBlkK4Yij2IOcmVdk93_h7fWSdEfg3kqQCznYX7IYg7FZKO4JfzPuQHfN6eX4zNm193wj1s4UN0,rar,"各位老師好
  嘉音另外整理了一份1,3,5年級的預習單有WORD及PDF檔
  這是較制式化的版本,但裡面有WORD檔,您可以依照您所習慣
的教學方式修改成您所需要的內容~~~
祝各位開學順心
下載時若有檔案無法下載或開啟的狀況
如1.rar...等這樣電腦判讀檔名時比較不會出現亂碼

EX:1.rar
建議可在下載時將下載的檔名改成數字
EX:"
104(一)一到六年級課文word檔(康軒版),,,https://lookaside.fbsbx.com/file/104%28%E4%B8%80%29%E4%B8%80%E5%88%B0%E5%85%AD%E5%B9%B4%E7%B4%9A%E8%AA%B2%E6%96%87word%E6%AA%94%28%E5%BA%B7%E8%BB%92%E7%89%88%29.rar?token=AWxE5gJSOOssSzovc7TJeiemQw-zhO6stAs_YgkB6Xpcb2AudQx0roO8NCHMVl32Yahfo60e0xq5WO2sX5SJRFPtJPAn5IUmNwp5fW7CvHKGe-E8eopBzlhPjIWTsgmLmlToEngMDALzpwHPhQqMlEN9Dtlh1GNTWH4pOwDk5AQMulssjknr5OZY2MI0oHby2tc,rar,"各位老師好
嘉音傳了一份康軒版的刻紋資料給大家
希望各位老師在製作備課資料時能輕鬆一點"
104五上翰林版1-5課資料,,,https://lookaside.fbsbx.com/file/104%E4%BA%94%E4%B8%8A%E7%BF%B0%E6%9E%97%E7%89%881-5%E8%AA%B2%E8%B3%87%E6%96%99.rar?token=AWzebTnkpVqIIFhfETE83ESqRJGfb5rUWfwXr742izBnSAcHzFrnI7N_Ob2Zf5zvVbi7MxmZTHOKBTYubybIIqrYkt_xBNOf53UYhP2amR-ArcMwkUPJv7Zlod-Io4YmaRF5NimHGQLrOofLCEadI-P92NtEIWdImvU6rOXimW5obJpiarQrSMXJHSf6z0Gzj6U,rar,"一位老師的來信,（隱藏姓名）

您好： 我是雲林縣的老師，看過您的文本分析與國語講義如此的面面俱到，想請教您從拿到書本到完成講義的備課歷程，特別是補充資料的截取與資料取得？ 另外""文提本""與國延詞本，字音字形辨別練習，並完成短文故事。(請將相關題目抄寫於國直本)，這些本子是否有相關資料可參考？ 雖然教學已22年，但前年才慢慢開始改變教學模式，期待能真正帶領孩子感受語文、了解語文並善用語文。改變的過程明顯發現自己的不足，無法給孩子全面性的學習，直到看到您的資料，對國語課該上些什麼，從基本的課文可以學到什麼，有了具體的想法，這學期帶新班想先以您的模式嘗試看看，期待能為孩子的學習帶來不同的方式與視野。謝謝您無私的分享，期待我也能從自己做起，更進而在自己的學校帶動這樣的理念與風氣。

我的回饋：
1. 老師要確實讀懂課文內容才能分析,參考備課用書及教師手冊,網路搜尋相關資料(只要打入課文標題,就會出現許多相關資料),篩檢資料,扣緊你的教學目標即可,不要想給太多,
因為今年新接五年級,一定要幫孩子搭鷹架,慢慢給,慢慢教會,孩子學會才是他們的本事,否則都是老師厲害而已.

2.講義的設計編寫，內容的多寡，剪裁資料時,完全就是教師專業能力的判斷與展現,老師判斷自己班上學生哪裡可能看不懂，就補充資料到學生看懂為止。我因為已教過，新學生還沒看到，因此用當年的舊經驗來判斷，只設計1-5課，但還是要看上課情形再調整，多或少真的要依學生情形調整。

3.關於""文提本""國延詞本，字音字形辨別練習，這是老師個人作業的設計,應用閱讀理解的提問來檢視孩子自己是否真正讀懂,可以在上課前,也可以在上課後, 請孩子回答,分量多少,因老師而異,友人只要每一層次寫一題,友老師希望越多越好,可以自己斟酌.
而字詞延伸，陳麗雲老師的花瓣練習，就很好用喔！還可以玩文字賓果。

這位老師的心聲和我一樣，日復一日的教學模式，若是教學年級不變，老師不進修、不成長，如何讓自己的教學快樂呢？成為正式教師兩年，免除教甄牽絆的我，更大膽的嘗試，南來北往的研習是為了增加自己的裝備，當我面對各種類型學生的挑戰時，我都有武器可用，先讓自己忙的充實快樂，教學就會越輕鬆愉快，學生才能消化吸收，化為帶著走的能力，就能適應這個多變的社會，才能讓我們的晚年更有保障嗎？這是我從那些走在前端的老師身上所看見的溫柔力量，我雖然只能遙望，但秉持著共學、共享、共好、共樂的心情，與大家分享，別害怕改變，一個人走得快，一群人可以走得遠又快，一起加油，與您共勉。"
溫美玉老師圓夢繪本3,,,https://lookaside.fbsbx.com/file/%E6%BA%AB%E7%BE%8E%E7%8E%89%E8%80%81%E5%B8%AB%E5%9C%93%E5%A4%A2%E7%B9%AA%E6%9C%AC3.rar?token=AWxNoQa-KXQoKKgadOytBPUImNCYeKpNk-afEFAAqdRffg3gtTrW6JnIQe2RcuhSBhIbtoYcgO2ip4Usa3ajaRETWBhcUmOk7LuI6JE12A4NY3WRVfy6--mzLNz_FDp72jDlgszZV3YER1SUZeIQtFsw6MGBgrzKkRXQ9UpSI7qlwPrxsbGMVg8QYwJg_O9c2PA,rar,"溫美玉老師
國中圖
夏日高峰會圓夢繪本在教學上的運用
2015年8月18日錄音檔3"
溫美玉老師圓夢繪本2,,,https://lookaside.fbsbx.com/file/%E6%BA%AB%E7%BE%8E%E7%8E%89%E8%80%81%E5%B8%AB%E5%9C%93%E5%A4%A2%E7%B9%AA%E6%9C%AC2.rar?token=AWzLxyZC0iMHzy6aAS4Gq6HxobyUUDU10R_vANhq13AOB6ve8uIVFlvZf-BwxOO40yVVOndXi60WyjKnR1gi3Ypz8Ase_r7iWhoKRkO0drxP9AGxwMeuC32xpvow8YCMmOL-eDGEDwS_LMsy-A-SHN3ra-1woOs79am1KK9Ugrj0OXiRCqsJkIENgwYolvCP_VM,rar,"溫美玉老師
國中圖
夏日高峰會圓夢繪本在教學上的運用
2015年8月18日錄音檔2"
溫美玉老師圓夢繪本1,,,https://lookaside.fbsbx.com/file/%E6%BA%AB%E7%BE%8E%E7%8E%89%E8%80%81%E5%B8%AB%E5%9C%93%E5%A4%A2%E7%B9%AA%E6%9C%AC1.rar?token=AWw_D8N6rmn0BToQMbdfwEGUTx-d32A4k7gTZa86xc86GWahyFm69iIKv7ajI159KAaZ216eAJ09Ikgv3lsz7LedWLg-GmRSmWWn46NYfVf29IkuTzlmOucWb_EU1s34T0itr2igF6oMEYoJdXqWC640vSeV6R79Rz7P058MqPniKWPHQHXER8h8tNGUOpIWz3I,rar,"溫美玉老師
國中圖
夏日高峰會圓夢繪本在教學上的運用
2015年8月18日錄音檔1"
翰林五上1-7課預習單結構單,,,https://lookaside.fbsbx.com/file/%E7%BF%B0%E6%9E%97%E4%BA%94%E4%B8%8A1-7%E8%AA%B2%E9%A0%90%E7%BF%92%E5%96%AE%E7%B5%90%E6%A7%8B%E5%96%AE.rar?token=AWxPPlaao3ng-R-S3KokjW0bstZKqv-pUcpm4NZrwIFcuZs7VDwK2clAFVT1bx9gjt-hwVJvutDFF10bjIENC1MObq75-zPiEi-x0Sedjmt2IDCkKGZUgV_QxAyZ2TkXsMCJQ6cnUjisqDmlFrOY90WbEHIQlxd_fJWZABTgJBDXz1r53-r34qIT1DP_ecxJesI,rar,"新版的翰林五上國語有許多課是與舊課綱六年級重疊的課文 ，
有些老師會覺得奇怪，
怎麼五年級和六年級教一樣的課文？

比較的結果，
文中有一些字詞修正較口語，
同一課文的生字量也不同！

一至七課的文章都是前一屆學生學過的內容，
當時也與同學年老師  許乃華分工合作，
完成我們改變教學的第一版預習單、結構單，
今年將第一版的加以修正以符合現在新帶的班級，
老師們參考看看，
可以交流！

平日上課我會搭配讀報，
如果有一些補充文章或影片也會放入，
因為檔案會比較大，
所以沒放入檔案中。"
